"","DATE","OPINION","PROS","CONS","company"
"154","Stock Picker (Current Employee) - Chelmsford - 27 January 2021","Early starts and average finish times of 1pm. Good working atmosphere.","Engaged in Work","If your working in zero hours contract, you may not earn an decent pay as they will push other colleagues who are favourable to them, but they will call you to check if you can cover up for some other team members, few leaders are bossy","ALDI"
"155","Picker/Packer (Former Employee) - Faverdale - 26 January 2021","Quite physical. Some days targets are hard to hit.","Paid lunch breaks and good hourly pay.","Awkward shifts.little overtime availiable","ALDI"
"156","Deputy Store Manager (Current Employee) - Gateshead - 24 January 2021","As a picker your day starts with orders that you stack on a pallet which is easy enough but when you combine it with the unrealistic targets like your pick rate it makes the job all the more unenjoyable. It’s not as if the work never got done either but if you miss your target by 1 or 2 you are approached in front of everyone and made to feel like cr*p as they quiz you on why you didn’t hit the target. Bearing in mind there’s more than just you on the section and people don’t care if they’re in your way and the equipment can also malfunction which isn’t taken into account. Can’t speak for the other sections but the one I was on is back breaking (Ambient). Management strut around on their high horse thinking they’re the bees knees when in reality they’re under qualified and couldn’t run a p*ss up in a brewery. ","Salary","Culture","ALDI"
"157","Store Assistant (Current Employee) - Exeter - 21 January 2021","Most of the people you work with make the job a little enjoyable but that is soon taken away when management get involved. ","Great salary, free fruit, nice offices","Boring job, no development","ALDI"
"158","Assistant (Former Employee) - Store #61, 2019, Edinburgh - 26 January 2020","I wouldn’t recommend this job while the people in charge are still there. ","Good wages","No focus on staff retention","ALDI"
"159","Store Assistant (Former Employee) - Fishponds, Bristol - 9 March 2021",NA,"Wages","Vindictive superiors","ALDI"
"160","Store Assistant (Former Employee) - West Bromwich - 9 March 2021","Decent pay","Competitive pay","Long hours, stressful, little training and support","ALDI"
"161","Warehouse Operative / Order Picker (Former Employee) - Rotherham - 7 March 2021","Management the job in general.","None","Everything","ALDI"
"162","Deputy Manager (Former Employee) - Blackpool, Lancashire - 3 March 2021","Aldi is a good company to work for if you don’t want a life. You sign a contract for part time hours and your expected to work 45+ hours a week. There’s no working life balance working for Aldi, especially not being a deputy. Senior management refuse to stay any later than 4pm, so your shifts are constantly 10pm finishes. You work every weekend, and will only get a weekend off when you use your holidays.","None - the wage is not worth it","Spoken to badly, made to book full years holidays in January, time targets are not achievable by anyone, sore back, legs, hands. Not worth the cost to your body or mind","ALDI"
"163","Selector (Former Employee) - Sawley, Derbyshire - 24 February 2021",NA,"Well paid","End up working more than 48 hours to achieve the results expected for free.","ALDI"
"164","Store Assistant (Former Employee) - Stevenage - 24 February 2021","Good pay","Good money","Shift pattern","ALDI"
"165","Store Assistant (Current Employee) - Birmingham, West Midlands - 22 February 2021","Long hours. No working life balance. Expected to change your shifts at such short notice, frowned upon if you can’t.","Early starts and average finish times of 1pm. Good working atmosphere.","Quite physical. Some days targets are hard to hit.","ALDI"
"166","Deputy Manager (Former Employee) - Darlington, Durham - 19 February 2021","Management Depend on the store, collegues are fine, the upper management is awful and inexperienced, the job is hard and the wage is not competitive anymore, bonus are only for upper management, they rarely keep ur contract h, usually u get from 10 or 20 h more pw, no developing career, for this money is not worth breaking ur back. Good if u r desperate.","Decent pay","Management the job in general.","ALDI"
"167","Administration Assistant (Former Employee) - Atherstone, Warwickshire - 18 February 2021",NA,"Good pay","Long hours. No working life balance. Expected to change your shifts at such short notice, frowned upon if you can’t.","ALDI"
"168","Store Assistant (Former Employee) - Lancashire - 15 February 2021","Cheap food, paid breaks","Cheap food, paid breaks","Unsociable hours, low pay, upper management clueless","ALDI"
"169","HGV Class 1 Driver (Former Employee) - Chelmsford - 14 February 2021","Unsociable hours, low pay, upper management clueless","Money","Management","ALDI"
"170","Assistant (Former Employee) - Store #61, 2019, Edinburgh - 26 January 2020","I enjoyed my time with Aldi and a shame I had to leave.  ","Good pay and paid on lunch break","0 consistency in shift regularity, or acknowledgement for personal commitments","ALDI"
"171","Store Assistant (Former Employee) - Hampshire - 21 January 2021","I feel that Adli's is very fair and honest employers.  The personal connection between management and staff is essential to how you are treated.","Nice canteen","Managment.... stress... constant changes.... lack of over time...","ALDI"
"172","Warehouse Operative (Current Employee) - Bolton, Greater Manchester - 20 January 2021","Being part of a strong team makes the job worth doing. ","Its worth it come pay day","Long hours","ALDI"
"173","Store Assistant (Former Employee) - Ashton-Under-Lyne, Greater Manchester - 20 January 2021","Meeting new and interesting people, learn to recognise what type of shopper people are.","Career progression","Short breaks","ALDI"
"174","Store Assistant (Current Employee) - Rochdale - 19 January 2021","Became a better communicator through guidance and training.","Alright pay","Tough targets, lack of understanding","ALDI"
"175","Store Assistant (Former Employee) - Oldham - 17 January 2021",NA,"Disponibilità cortesia","Stress turni lunghi","ALDI"
"176","Store Assistant (Former Employee) - Greater London - 14 January 2021","Very nasty on the tills, not to mention long shifts 10 hours+ completely brain dead as you are stuck on the tills wishing your life away. Don't recommend if you have personal commitments as they will completely ignore this and have 0 shift regularity. ","Good hours","Customers can be hard on you.","ALDI"
"177","Store Assistant (Current Employee) - Whitehaven - 13 January 2021",NA,"None","Work like a dog","ALDI"
"178","Retail Assistant (Former Employee) - Letchworth, Hertfordshire - 11 January 2021","Good pay and paid on lunch break","Pay","Lack of advancement","ALDI"
"179","Store Assistant (Former Employee) - Faringdon - 9 January 2021","0 consistency in shift regularity, or acknowledgement for personal commitments","Paid breaks, keeps you fit, excellent teamwork, fair pay","Senior management often dont appreciate hard workers","ALDI"
"180","Sales Assistant (Current Employee) - Crosby, Merseyside - 9 January 2021","Every manager from Aldi will keep telling you ""u are lucky to be here...your hourly rate of pay is the best..no other company pays like that..."" true... if the hours where their ... but they are not ..","Good pay rate","Poor management","ALDI"
"181","Store Assistant (Current Employee) - England - 9 January 2021","No growth opportunities....","no staff perks","long hours later nights earlier mornings night hifts better","ALDI"
"182","store assistant (Former Employee) - Coventry, West Midlands - 6 January 2021","Some management are OK some you think to yourself ""how did they get this job"" ... ","Good wages and hours","Victimisation, poor management.","ALDI"
"183","Sales Assistant (Former Employee) - Dumfries, Dumfries and Galloway - 6 January 2021","Constant changes.... every month a different wage... lack of hours... ","Fun. Hard work","Not enough breaks","ALDI"
"184","Store Assistant (Former Employee) - Skegness - 5 January 2021","Great canteen and changing rooms.. ","Lunch break is paid for.","Can't say anything bad because it's all good.","ALDI"
"185","Store Assistant (Former Employee) - Leicester - 4 January 2021","But overall very stressful... and constantly fighting to keep you job... ","Money","Everything else","ALDI"
